1p-sc.canva.com AS396982 AS396982 - GOOGLE LLC US 34.83.144.0/20
l.create.canva.com AS16509 AS16509 - AMAZON.COM, INC. US 52.52.0.0/15
l.create.canva.com AS16509 AS16509 - AMAZON.COM, INC. US 54.215.128.0/18
l.engage.canva.com AS16509 AS16509 - AMAZON.COM, INC. US 52.9.0.0/16
l.support.canva.com AS16509 AS16509 - AMAZON.COM, INC. US 54.183.0.0/17
learn.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
mailer1.canva.com AS14782 AS14782 - THE ROCKET SCIENCE GROUP, LLC US 198.2.128.0/19
mailer2.canva.com AS14782 AS14782 - THE ROCKET SCIENCE GROUP, LLC US 198.2.128.0/19
marketing.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
marketplace.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
media-private.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
media-public.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
ms-my.about.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
mta1.email.canva.com AS19994 AS19994 - RACKSPACE HOSTING US 166.78.64.0/18
mta2.email.canva.com AS19994 AS19994 - RACKSPACE HOSTING US 166.78.64.0/18
mta3.email.canva.com AS19994 AS19994 - RACKSPACE HOSTING US 166.78.64.0/18
mta4.email.canva.com AS19994 AS19994 - RACKSPACE HOSTING US 166.78.64.0/18
mta5.email.canva.com AS19994 AS19994 - RACKSPACE HOSTING US 166.78.64.0/18
mta6.email.canva.com AS19994 AS19994 - RACKSPACE HOSTING US 166.78.64.0/18
nb-no.about.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
newftp.canva.com AS14618 AS14618 - AMAZON.COM, INC. US 54.221.0.0/16
nl-nl.about.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
ns1.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 162.159.0.0/24
ns2.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 162.159.1.0/24
o1006.e.engage.canva.com AS11377 AS11377 - SENDGRID, INC. US 167.89.64.0/19
o1007.e.engage.canva.com AS11377 AS11377 - SENDGRID, INC. US 167.89.64.0/19
o682.engage.canva.com AS11377 AS11377 - SENDGRID, INC. US 167.89.0.0/18
o683.create.canva.com AS11377 AS11377 - SENDGRID, INC. US 167.89.96.0/20
o684.support.canva.com AS11377 AS11377 - SENDGRID, INC. US 167.89.96.0/20
partner.canva.com AS15169 AS15169 - GOOGLE LLC US 34.100.0.0/14
partnership-artwork.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
partnership-assets.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
phoenix.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
photo-editor.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
pl-pl.about.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
pm-bounces.canva.com AS14061 AS14061 - DIGITALOCEAN, LLC US 138.197.16.0/20
print-assets.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
print-product-assets.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
product.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
profile.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
proxy-failover.dd.canva.com AS14618 AS14618 - AMAZON.COM, INC. US 44.192.0.0/11
proxy.cse.canva.com AS14618 AS14618 - AMAZON.COM, INC. US 44.192.0.0/11
proxy.dd.canva.com AS14618 AS14618 - AMAZON.COM, INC. US 44.192.0.0/11
pt-br.about.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
pt-br.learn.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
pt-pt.about.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
public-file-uploads.cse.canva.com AS16509 AS16509 - AMAZON.COM, INC. US 13.225.60.0/22
renderer.cse.canva.com AS14618 AS14618 - AMAZON.COM, INC. US 54.160.0.0/14
resources.canva.com AS20940 AS20940 - AKAMAI INTERNATIONAL B.V. NL 104.77.178.0/24
ru-ru.about.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
ru-ru.learn.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
sdk.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
sfe.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
share-upload.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
share.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
sitemap.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
static-cse.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
static.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
status.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
support.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
sv-se.about.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
template-private.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
template.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
th-th.about.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
thumbnail.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
tr-tr.about.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
track.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
tracking.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.128.0/20
uk-ua.about.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
upload.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
us-east-1.newftp.canva.com AS14618 AS14618 - AMAZON.COM, INC. US 54.221.0.0/16
us-west-1.newftp.canva.com AS14618 AS14618 - AMAZON.COM, INC. US 54.221.0.0/16
vi-vn.about.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
video-placeholders.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
video-private-assets.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
video-private.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
video-public.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
video-upload.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
wiki.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
wpassets.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
ww.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
www.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
zendesk1.canva.com AS39923 AS39923 - UNIX-SOLUTIONS BVBA BE 0.0.0.0/0
zendesk2.canva.com AS39923 AS39923 - UNIX-SOLUTIONS BVBA BE 0.0.0.0/0
zendesk3.canva.com AS39923 AS39923 - UNIX-SOLUTIONS BVBA BE 0.0.0.0/0
zendesk4.canva.com AS39923 AS39923 - UNIX-SOLUTIONS BVBA BE 0.0.0.0/0
zh-cn.about.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
zh-cn.learn.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
zh-hk.about.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
zh-tw.about.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
